Customer_ID,First_Name,Last_Name,Age,Gender,City,State,Customer_Since,Occupation,Income,Marital_Status,Preferred_Channel,Loyalty_Tier
CUST000018,Pooja,Lalla,42.0,Female,Bhubaneswar,Odisha,2019-09-24,Engineer,165300.0,Married,Store,Platinum
CUST000019,Anya,Sharaf,26.0,Female,Chennai,Tamil Nadu,2018-10-13,Self-Employed,118800.0,Single,Online,Gold
CUST000020,Diya,Radhakrishnan,20.0,Female,Amritsar,Punjab,2024-08-16,Student,12500.0,Single,Mobile App,Bronze
CUST000021,Chaaya,Memon,57.0,Female,Mumbai,Maharashtra,2021-04-06,Retail Employee,32000.0,Married,Store,Bronze
CUST000022,Pratyush,Handa,35.0,Male,Kolkata,West Bengal,2021-07-11,Sales Executive,107400.0,Married,Store,Silver
CUST000023,Bhavya,Bath,39.0,Female,Mysuru,Karnataka,2020-07-14,Self-Employed,227800.0,Single,Store,Gold
CUST000024,Jhalak,Mann,19.0,Female,Varanasi,Uttar Pradesh,2025-08-16,Student,14100.0,Married,Online,Bronze
CUST000025,Balveer,Kaul,31.0,Male,Hyderabad,Telangana,2020-05-01,Self-Employed,176700.0,Married,Mobile App,Gold
CUST000026,Chandresh,Rai,39.0,Male,New Delhi,Delhi,2020-02-12,IT Professional,170700.0,Married,Online,Gold
CUST000027,Liam,Setty,23.0,Male,Chandigarh,Chandigarh,2021-08-16,Self-Employed,123900.0,Married,Online,Silver
CUST000028,Qabil,Gaba,43.0,Male,Hyderabad,Telangana,2020-06-13,Teacher,54800.0,Married,Online,Silver
CUST000029,Qasim,Pant,30.0,Male,Mumbai,Maharashtra,2020-08-19,Government Employee,71500.0,Married,Online,Silver
CUST000030,Jagrati,Loke,34.0,Female,Hyderabad,Telangana,2019-02-22,Business Owner,89900.0,Married,Online,Silver
CUST000031,Balendra,Garg,30.0,Male,Ahmedabad,Gujarat,2019-01-28,IT Professional,100200.0,Married,Online,Gold
CUST000032,Jason,Gade,62.0,Male,New Delhi,Delhi,2020-12-04,Homemaker,6500.0,Divorced,Mobile App,Bronze
CUST000033,Vedhika,Raghavan,38.0,Female,Warangal,Telangana,2020-09-05,Teacher,58000.0,Married,Store,Silver
CUST000034,Lopa,Kanda,24.0,Female,Mumbai,Maharashtra,2020-08-16,Sales Executive,65000.0,Single,Mobile App,Silver
CUST000035,Omaja,Bhalla,49.0,Female,Kolkata,West Bengal,2021-05-21,Sales Executive,82100.0,Married,Online,Silver
CUST000036,Ishwar,Balay,22.0,Male,Jaipur,Rajasthan,2022-08-17,Student,9600.0,Single,Online,Bronze
CUST000037,Nisha,Rattan,41.0,Female,Hyderabad,Telangana,2020-04-12,Self-Employed,107500.0,Single,Online,Gold
CUST000038,Lipika,Bhatti,18.0,Female,Hyderabad,Telangana,2026-07-11,Student,65800.0,Single,Mobile App,Bronze
CUST000039,Hitesh,Murty,21.0,Male,Pune,Maharashtra,2023-08-17,Sales Executive,88800.0,Single,Mobile App,Silver
CUST000040,Hitesh,Tata,41.0,Male,Delhi,Delhi,2020-05-08,IT Professional,222200.0,Married,Online,Platinum
CUST000041,Siya,Shanker,48.0,Female,Nagpur,Maharashtra,2019-05-12,Business Owner,343000.0,Married,Online,Platinum
CUST000042,Eshana,Lanka,40.0,Female,Chennai,Tamil Nadu,2019-02-08,IT Professional,162500.0,Married,Online,Gold
CUST000043,Ekiya,Koshy,36.0,Female,Coimbatore,Tamil Nadu,2018-09-08,Government Employee,48600.0,Married,Store,Silver
CUST000044,Lekha,Sangha,34.0,Female,Guwahati,Assam,2021-05-27,Retail Employee,65800.0,Divorced,Mobile App,Bronze
CUST000045,Sudiksha,Pathak,19.0,Female,Mumbai,Maharashtra,2025-08-16,Student,12400.0,Single,Online,Bronze
CUST000046,Januja,Devi,29.0,Female,Kolkata,West Bengal,2019-05-10,Self-Employed,157800.0,Married,Mobile App,Gold
CUST000047,Yatin,Chand,32.0,Male,Coimbatore,Tamil Nadu,2020-01-02,Engineer,114800.0,Single,Mobile App,Gold
CUST000048,Arjun,Choudhary,52.0,Male,Chennai,Tamil Nadu,2020-08-22,Doctor,225400.0,Married,Store,Gold
CUST000049,Faraj,Dutta,42.0,Male,Bhopal,Madhya Pradesh,2021-01-03,Government Employee,57500.0,Married,Mobile App,Silver
CUST000050,Udyati,Bhatt,18.0,Female,Delhi,Delhi,2026-07-11,Student,9600.0,Single,Store,Bronze
CUST000051,Sanya,Raj,42.0,Female,Mumbai,Maharashtra,2020-05-03,Student,13100.0,Married,Online,Bronze
CUST000052,Vinaya,Wadhwa,33.0,Female,Ahmedabad,Gujarat,2021-02-03,Self-Employed,236700.0,Single,Online,Gold
CUST000053,Jeremiah,Apte,29.0,Male,Mysuru,Karnataka,2018-09-25,Retired,22100.0,Married,Store,Silver
CUST000054,Deepa,Yadav,46.0,Female,Mumbai,Maharashtra,2021-04-20,IT Professional,175300.0,Married,Online,Gold
CUST000055,Kiaan,Oak,51.0,Male,New Delhi,Delhi,2018-09-01,Student,15900.0,Married,Store,Silver
CUST000056,Daksh,Memon,50.0,Male,Bengaluru,Karnataka,2019-02-06,Retail Employee,37000.0,Single,Online,Silver
CUST000057,Urishilla,Dugar,27.0,Female,Kolkata,West Bengal,2020-05-10,Doctor,172700.0,Married,Store,Gold
CUST000058,Vasana,Aggarwal,34.0,Female,Delhi,Delhi,2019-05-29,Engineer,145100.0,Married,Online,Gold
CUST000059,Adya,Tella,42.0,Other,Hyderabad,Telangana,2019-08-11,Self-Employed,211500.0,Married,Online,Gold
CUST000060,Gaurav,Tripathi,51.0,Male,Chennai,Tamil Nadu,2020-12-26,Government Employee,69400.0,Married,Store,Silver
CUST000061,Damyanti,Misra,32.0,Female,Chennai,Tamil Nadu,2020-08-10,Self-Employed,127400.0,Married,Mobile App,Gold
CUST000062,Zehaan,Issac,36.0,Male,Amritsar,Punjab,2020-02-01,Doctor,173100.0,Single,Mobile App,Gold
CUST000063,Faraj,Prakash,24.0,Male,Mumbai,Maharashtra,2020-08-16,Teacher,43000.0,Single,Store,Silver
CUST000064,Gaurika,Zacharia,22.0,Female,Guwahati,Assam,2022-08-17,Student,7900.0,Single,Mobile App,Bronze
CUST000065,Zilmil,Acharya,49.0,Female,Kolkata,West Bengal,2020-03-16,Retail Employee,38600.0,Married,Online,Silver
CUST000066,Ojasvi,Suresh,38.0,Female,Jodhpur,Rajasthan,2020-04-18,IT Professional,163500.0,Married,Store,Gold
CUST000067,Aditya,Choudhury,37.0,Male,Hyderabad,Telangana,2020-02-17,Sales Executive,82200.0,Single,Store,Silver
CUST000068,Radhika,Mohanty,51.0,Male,Chennai,Tamil Nadu,2020-04-27,IT Professional,115300.0,Married,Store,Gold
CUST000069,Jagdish,Bhardwaj,43.0,Male,Indore,Madhya Pradesh,2020-01-01,Self-Employed,65800.0,Married,Online,Gold
CUST000070,Kavya,Brar,30.0,Female,Patna,Bihar,2018-12-17,Engineer,134400.0,Divorced,Store,Gold
CUST000071,Brijesh,Sunder,43.0,Male,Delhi,Delhi,2019-09-23,Retail Employee,37700.0,Divorced,Mobile App,Silver
CUST000072,Bakhshi,Walia,58.0,Male,Delhi,Delhi,2019-06-16,Engineer,202200.0,Married,Store,Gold
CUST000073,Edhitha,Dave,38.0,Female,Chennai,Tamil Nadu,2019-11-01,IT Professional,159000.0,Divorced,Store,Gold
CUST000074,Vyanjana,Gandhi,38.0,Female,Patna,Bihar,2019-09-12,IT Professional,194800.0,Married,Online,Platinum
CUST000075,Kevin,Wable,18.0,Male,Bengaluru,Karnataka,2026-07-11,Student,15700.0,Married,Store,Bronze
CUST000076,Siddharth,Kakar,49.0,Male,Ahmedabad,Gujarat,2021-07-18,IT Professional,196300.0,Married,Store,Gold
CUST000077,Irya,Muni,39.0,Female,Ahmedabad,Gujarat,2018-08-17,Student,19100.0,Married,Mobile App,Silver
CUST000078,Ryan,Prakash,34.0,Male,Udaipur,Rajasthan,2021-07-10,Student,8700.0,Married,Online,Bronze
CUST000079,Theodore,Varughese,39.0,Male,Kolkata,West Bengal,2020-06-09,IT Professional,150700.0,Single,Online,Gold
CUST000080,Upkaar,Dara,18.0,Male,Hyderabad,Telangana,2026-07-11,Student,7900.0,Single,Mobile App,Bronze
CUST000081,Jatin,Kar,35.0,Male,Bhubaneswar,Odisha,2021-05-02,Sales Executive,97800.0,Single,Store,Silver
CUST000082,Bhavika,Nigam,43.0,Female,Kolkata,West Bengal,2019-03-31,Teacher,49200.0,Widowed,Online,Silver
CUST000083,Aishani,Karpe,57.0,Female,Surat,Gujarat,2020-05-07,Self-Employed,224000.0,Married,Store,Gold
CUST000084,Januja,Amble,31.0,Female,Mysuru,Karnataka,2019-03-22,Engineer,77100.0,Married,Online,Silver
CUST000085,Ekavir,Bhargava,27.0,Other,Ahmedabad,Gujarat,2020-10-21,Business Owner,65800.0,Married,Mobile App,Gold
CUST000086,Ishwar,Bir,31.0,Male,New Delhi,Delhi,2020-11-08,Government Employee,67700.0,Single,Online,Silver
CUST000087,Amol,Narayanan,50.0,Male,Delhi,Delhi,2020-11-14,Homemaker,14200.0,Married,Store,Bronze
CUST000088,Balendra,Varkey,42.0,Male,Ahmedabad,Gujarat,2019-10-11,Engineer,99800.0,Married,Mobile App,Gold
CUST000089,Jagat,Mallick,31.0,Male,Chennai,Tamil Nadu,2019-03-07,Self-Employed,125200.0,Single,Online,Gold
CUST000090,Xavier,Kala,45.0,Male,Ahmedabad,Gujarat,2020-04-08,Teacher,62900.0,Married,Online,Silver
CUST000091,Ekaja,Solanki,39.0,Female,Bengaluru,Karnataka,2020-06-27,Retail Employee,37300.0,Single,Mobile App,Silver
CUST000092,Keya,Solanki,51.0,Female,Kolkata,West Bengal,2018-09-14,Doctor,155600.0,Married,Online,Platinum
CUST000093,Samar,Gupta,29.0,Male,Warangal,Telangana,2021-04-10,Student,12700.0,Married,Online,Bronze
CUST000094,Charvi,Chatterjee,34.0,Female,Kolkata,West Bengal,2020-03-01,IT Professional,177500.0,Married,Online,Gold
CUST000095,Upasna,Pandya,33.0,Female,Bengaluru,Karnataka,2020-05-26,Retail Employee,28200.0,Divorced,Mobile App,Silver
CUST000096,Udyati,Roy,19.0,Female,Ahmedabad,Gujarat,2025-08-16,Retail Employee,18100.0,Married,Mobile App,Bronze
CUST000097,Vinaya,Bhagat,42.0,Female,Lucknow,Uttar Pradesh,2020-10-26,Homemaker,4500.0,Married,Mobile App,Bronze
CUST000098,Chavvi,Bhat,41.0,Female,New Delhi,Delhi,2021-07-16,IT Professional,65800.0,Married,Mobile App,Silver
CUST000099,Tamanna,Nori,38.0,Female,Bengaluru,Karnataka,2018-12-29,Self-Employed,232400.0,Married,Mobile App,Platinum
CUST000100,Darika,Kothari,38.0,Female,Ahmedabad,Gujarat,2019-10-20,IT Professional,149900.0,Single,Mobile App,Gold
CUST000101,Inaya,Gupta,20.0,Female,Ahmedabad,Gujarat,2024-08-16,Student,6700.0,Single,Mobile App,Bronze
CUST000102,Udarsh,Dey,33.0,Male,Ahmedabad,Gujarat,2020-01-23,Sales Executive,111200.0,Married,Mobile App,Gold
CUST000103,Siddharth,Goswami,34.0,Male,Ahmedabad,Gujarat,2019-10-29,Sales Executive,76000.0,Married,Store,Silver
CUST000104,Maya,Shere,28.0,Female,Hyderabad,Telangana,2019-07-10,Self-Employed,72100.0,Single,Store,Silver
CUST000105,Jeet,Borra,36.0,Male,Hyderabad,Telangana,2018-11-25,Government Employee,79700.0,Married,Mobile App,Silver
CUST000106,Timothy,Chaudhari,43.0,Male,New Delhi,Delhi,2021-05-08,Engineer,112800.0,Single,Mobile App,Silver
CUST000107,Arya,Zachariah,63.0,Female,Nagpur,Maharashtra,2020-08-19,Retired,25200.0,Divorced,Online,Bronze
CUST000108,Abhimanyu,Chander,40.0,Male,Ahmedabad,Gujarat,2019-07-01,IT Professional,97300.0,Married,Online,Silver
CUST000109,Kashish,Ganesan,41.0,Female,Pune,Maharashtra,2018-10-01,IT Professional,141500.0,Married,Online,Platinum
CUST000110,Tanvi,Sunder,37.0,Female,Thiruvananthapuram,Kerala,2018-09-07,Self-Employed,174300.0,Married,Store,Platinum
CUST000111,Warda,Kala,18.0,Female,Kanpur,Uttar Pradesh,2026-07-11,Sales Executive,23800.0,Married,Online,Bronze
CUST000112,Sai,Bhargava,38.0,Male,Chandigarh,Chandigarh,2021-01-16,IT Professional,127100.0,Single,Mobile App,Silver
CUST000113,Fitan,Raghavan,39.0,Male,Patna,Bihar,2021-04-08,Student,9800.0,Married,Online,Bronze
CUST000114,Aadhya,Ramakrishnan,70.0,Female,Hyderabad,Telangana,2018-10-15,Self-Employed,166500.0,Married,Store,Platinum
CUST000115,Libni,Sha,35.0,Female,Chandigarh,Chandigarh,2020-04-28,Retail Employee,22800.0,Married,Online,Silver
CUST000116,Bhavika,Sampath,42.0,Other,Nagpur,Maharashtra,2021-01-15,Engineer,104800.0,Married,Store,Silver
CUST000117,Yagnesh,Dubey,38.0,Male,Mumbai,Maharashtra,2018-10-28,Student,12000.0,Single,Store,Silver
CUST000118,Girish,Minhas,23.0,Male,Jodhpur,Rajasthan,2021-08-16,IT Professional,154200.0,Married,Mobile App,Gold
CUST000119,Janani,Bhardwaj,53.0,Female,Mumbai,Maharashtra,2019-06-09,Retired,39900.0,Married,Store,Silver
CUST000120,Azaan,Murthy,48.0,Male,Ludhiana,Punjab,2019-10-01,Retail Employee,41700.0,Single,Mobile App,Silver
CUST000121,Barkha,Bedi,48.0,Female,Ahmedabad,Gujarat,2021-05-12,IT Professional,214000.0,Married,Store,Gold
CUST000122,William,Thakkar,26.0,Male,Vadodara,Gujarat,2020-08-10,Government Employee,50000.0,Married,Mobile App,Silver
CUST000123,Farhan,Bhandari,56.0,Male,Delhi,Delhi,2021-03-05,Sales Executive,113500.0,Married,Store,Silver
CUST000124,Banjeet,Grewal,38.0,Male,Ahmedabad,Gujarat,2024-08-16,Sales Executive,52900.0,Single,Mobile App,Silver
CUST000125,Bakhshi,Bir,46.0,Male,Mumbai,Maharashtra,2020-03-11,Government Employee,91000.0,Married,Store,Gold
CUST000126,Kamya,Raval,66.0,Female,Varanasi,Uttar Pradesh,2021-08-12,Retired,27000.0,Married,Store,Bronze
CUST000127,Dipta,Koshy,25.0,Female,Delhi,Delhi,2019-08-17,Engineer,65800.0,Married,Store,Silver
CUST000128,Anmol,Bumb,31.0,Male,Ahmedabad,Gujarat,2020-07-29,Teacher,50600.0,Married,Online,Silver
CUST000129,Ubika,Virk,39.0,Female,Delhi,Delhi,2020-11-06,Doctor,335600.0,Single,Store,Gold
CUST000130,Nakul,Lal,31.0,Male,Mumbai,Maharashtra,2020-12-16,Student,14200.0,Married,Online,Bronze
CUST000131,Ishani,Murthy,18.0,Female,Chennai,Tamil Nadu,2026-07-11,Student,12000.0,Single,Mobile App,Bronze
CUST000132,Jagdish,Lanka,39.0,Male,Delhi,Delhi,2018-08-17,Doctor,284300.0,Married,Online,Platinum
CUST000133,Siya,Deep,24.0,Female,Surat,Gujarat,2020-09-27,Retail Employee,26700.0,Single,Mobile App,Bronze
CUST000134,Netra,Shankar,38.0,Female,Delhi,Delhi,2020-05-29,Sales Executive,57500.0,Married,Online,Silver
CUST000135,Nisha,Bora,26.0,Female,Mysuru,Karnataka,2019-01-04,Student,12400.0,Single,Online,Bronze
CUST000136,Aarna,Shanker,58.0,Female,Kolkata,West Bengal,2019-09-13,Retail Employee,38700.0,Single,Mobile App,Silver
CUST000137,Daksha,Borah,28.0,Female,Bengaluru,Karnataka,2020-07-08,Retired,35700.0,Married,Store,Silver
CUST000138,Jalsa,Toor,34.0,Female,Hyderabad,Telangana,2018-12-06,IT Professional,178500.0,Divorced,Online,Gold
CUST000139,Libni,Deo,49.0,Female,Kanpur,Uttar Pradesh,2019-05-18,Business Owner,401500.0,Married,Mobile App,Platinum
CUST000140,Priya,Biswas,22.0,Female,Delhi,Delhi,2022-08-17,Student,7400.0,Single,Mobile App,Bronze
CUST000141,Krisha,Pingle,41.0,Female,Pune,Maharashtra,2019-09-11,Engineer,136800.0,Married,Online,Gold
CUST000142,Lucky,Dugar,55.0,Male,Bengaluru,Karnataka,2018-11-10,Student,308100.0,Married,Store,Platinum
CUST000143,Urvashi,Mittal,18.0,Female,Hyderabad,Telangana,2026-07-11,Student,11000.0,Single,Online,Bronze
CUST000144,Aayush,Mistry,40.0,Male,Madurai,Tamil Nadu,2019-06-04,Self-Employed,134300.0,Married,Store,Gold
CUST000145,Damini,Desai,41.0,Female,Hyderabad,Telangana,2018-09-17,Engineer,117100.0,Married,Store,Gold
CUST000146,Kevin,D’Alia,48.0,Male,Jodhpur,Rajasthan,2019-07-22,Teacher,72500.0,Married,Online,Gold
CUST000147,Damyanti,Dugal,22.0,Female,Mumbai,Maharashtra,2022-08-17,Student,11700.0,Single,Online,Bronze
CUST000148,Laban,Manda,21.0,Male,Warangal,Telangana,2023-08-17,Student,8800.0,Single,Mobile App,Bronze
CUST000149,Henry,Oza,38.0,Male,Hyderabad,Telangana,2019-11-03,Retail Employee,36000.0,Divorced,Store,Silver
CUST000150,Ishani,Lalla,42.0,Female,Ahmedabad,Gujarat,2020-10-18,IT Professional,166300.0,Divorced,Mobile App,Gold
CUST000151,Yashawini,Suresh,41.0,Female,Bhubaneswar,Odisha,2018-10-02,Teacher,47100.0,Married,Store,Gold
CUST000152,Jeremiah,Behl,43.0,Male,Chennai,Tamil Nadu,2020-05-29,Student,171400.0,Single,Mobile App,Gold
CUST000153,Chakradhar,Sampath,29.0,Male,Ludhiana,Punjab,2020-04-02,Self-Employed,133000.0,Married,Mobile App,Gold
CUST000154,Manya,Basu,41.0,Female,Bengaluru,Karnataka,2019-07-09,IT Professional,1275400.0,Married,Store,Platinum
CUST000155,Aadhya,Nath,42.0,Female,Mumbai,Maharashtra,2020-01-20,Homemaker,18300.0,Married,Online,Bronze
CUST000156,Dhruv,Lala,38.0,Male,Nagpur,Maharashtra,2020-06-24,Government Employee,52300.0,Married,Online,Silver
CUST000157,Faris,Sathe,62.0,Male,Hyderabad,Telangana,2021-05-24,Retired,14700.0,Divorced,Mobile App,Bronze
CUST000158,Tanay,Andra,44.0,Male,Bengaluru,Karnataka,2019-11-02,Self-Employed,223900.0,Widowed,Mobile App,Gold
CUST000159,Dayita,Borra,23.0,Female,Pune,Maharashtra,2021-08-16,Engineer,84000.0,Single,Mobile App,Silver
CUST000160,Falan,Banik,47.0,Male,Warangal,Telangana,2019-07-27,Engineer,132900.0,Married,Online,Gold
CUST000161,Qasim,Divan,25.0,Male,Bengaluru,Karnataka,2020-06-24,Student,7600.0,Single,Mobile App,Bronze
CUST000162,Tanveer,Datta,48.0,Male,Pune,Maharashtra,2021-03-29,IT Professional,122100.0,Divorced,Mobile App,Silver
CUST000163,Ansh,Morar,53.0,Male,Bengaluru,Karnataka,2019-03-06,Government Employee,84700.0,Married,Online,Silver
CUST000164,Rajata,Baral,27.0,Female,Indore,Madhya Pradesh,2018-10-19,Retired,11000.0,Married,Online,Bronze
CUST000165,Praneel,Kade,51.0,Male,Bengaluru,Karnataka,2020-06-17,Government Employee,83300.0,Married,Online,Silver
CUST000166,Jeet,Chauhan,43.0,Male,Ahmedabad,Gujarat,2019-06-10,Sales Executive,68400.0,Married,Store,Gold
CUST000167,Peter,Ray,49.0,Male,Kolkata,West Bengal,2020-05-23,Doctor,344700.0,Married,Store,Platinum
CUST000168,Faras,Khalsa,63.0,Male,Hyderabad,Telangana,2020-02-13,Retired,27500.0,Single,Online,Silver
CUST000169,Finn,Goel,35.0,Male,Delhi,Delhi,2019-02-12,Engineer,93600.0,Married,Online,Gold
CUST000170,Triveni,Bakshi,28.0,Female,Hyderabad,Telangana,2021-05-17,Self-Employed,213100.0,Single,Mobile App,Gold
CUST000171,Hemal,Natarajan,26.0,Female,Kolkata,West Bengal,2020-01-13,Sales Executive,75800.0,Married,Mobile App,Silver
CUST000172,Tripti,Kothari,27.0,Female,Mysuru,Karnataka,2020-12-24,Retail Employee,28000.0,Married,Mobile App,Bronze
CUST000173,Lila,Dutta,37.0,Female,Delhi,Delhi,2020-08-09,Teacher,55300.0,Married,Mobile App,Silver
CUST000174,Darika,Raja,42.0,Female,Pune,Maharashtra,2019-09-10,Teacher,67400.0,Married,Mobile App,Silver
CUST000175,Anirudh,Singhal,42.0,Male,Indore,Madhya Pradesh,2021-07-17,Student,13000.0,Single,Online,Bronze
CUST000176,Janya,Iyengar,49.0,Female,Warangal,Telangana,2019-11-05,Engineer,129800.0,Married,Online,Gold
CUST000177,Veda,Palla,38.0,Female,Kolkata,West Bengal,2020-10-10,Sales Executive,56400.0,Single,Store,Silver
CUST000178,Niharika,Kari,57.0,Female,Chennai,Tamil Nadu,2019-08-14,Teacher,57400.0,Married,Store,Silver
CUST000179,Jasmit,Bajwa,35.0,Female,Bhopal,Madhya Pradesh,2021-03-14,Business Owner,126200.0,Married,Store,Gold
CUST000180,Gopal,Rastogi,38.0,Male,Madurai,Tamil Nadu,2019-06-02,Business Owner,232800.0,Married,Online,Gold
CUST000181,Omya,Mallick,46.0,Female,Chennai,Tamil Nadu,2019-09-09,Teacher,54000.0,Married,Online,Silver
CUST000182,Bhavya,Mallick,27.0,Female,Thiruvananthapuram,Kerala,2018-09-17,Retail Employee,26200.0,Single,Store,Silver
CUST000183,Indali,Upadhyay,38.0,Other,Ahmedabad,Gujarat,2020-08-16,Business Owner,152400.0,Single,Online,Gold
CUST000184,Ryan,Yadav,44.0,Male,Pune,Maharashtra,2020-10-10,Sales Executive,88700.0,Divorced,Mobile App,Silver
CUST000185,Noah,Bala,35.0,Male,Delhi,Delhi,2021-07-17,Doctor,218100.0,Single,Mobile App,Gold
CUST000186,Dalbir,Lal,47.0,Male,Jodhpur,Rajasthan,2019-08-29,Student,16400.0,Widowed,Online,Silver
CUST000187,Hemal,Lanka,44.0,Female,Varanasi,Uttar Pradesh,2019-10-26,Retail Employee,31600.0,Married,Mobile App,Silver
CUST000188,Anirudh,Chopra,37.0,Male,Madurai,Tamil Nadu,2021-07-17,Student,14400.0,Single,Online,Bronze
CUST000189,Teerth,Pai,27.0,Male,Kolkata,West Bengal,2021-04-04,Engineer,137400.0,Married,Online,Silver
CUST000190,Dipta,Sarin,18.0,Other,Howrah,West Bengal,2026-07-11,Retail Employee,29800.0,Single,Mobile App,Bronze
CUST000191,Dalbir,Rajan,32.0,Male,Warangal,Telangana,2018-11-21,Retail Employee,32700.0,Married,Online,Silver
CUST000192,Ikshita,Kumar,49.0,Female,Ahmedabad,Gujarat,2018-11-27,Self-Employed,247300.0,Divorced,Store,Platinum
CUST000193,Anthony,Sarin,41.0,Male,Pune,Maharashtra,2021-03-03,Engineer,92700.0,Single,Mobile App,Gold
CUST000194,Aachal,Venkatesh,22.0,Female,Bhubaneswar,Odisha,2022-08-17,Retail Employee,24000.0,Single,Online,Bronze
CUST000195,Indira,Patla,40.0,Female,Vadodara,Gujarat,2021-06-30,Homemaker,14000.0,Married,Online,Bronze
CUST000196,Upasna,Boase,43.0,Female,Howrah,West Bengal,2020-03-20,Student,22100.0,Married,Store,Silver
CUST000197,Oni,Murthy,27.0,Female,Bengaluru,Karnataka,2019-05-14,Sales Executive,458900.0,Single,Mobile App,Platinum
CUST000198,David,Mital,38.0,Male,Nagpur,Maharashtra,2019-04-04,Retail Employee,35200.0,Divorced,Mobile App,Silver
CUST000199,Zehaan,More,39.0,Male,Hyderabad,Telangana,2020-02-16,IT Professional,167500.0,Single,Store,Gold
CUST000200,Samarth,Narain,23.0,Male,Ahmedabad,Gujarat,2021-08-16,Sales Executive,73700.0,Married,Store,Silver
CUST000201,Tamanna,Merchant,43.0,Female,Howrah,West Bengal,2020-06-24,Sales Executive,59900.0,Married,Mobile App,Silver
CUST000202,Eesha,Handa,45.0,Male,Hyderabad,Telangana,2018-10-30,IT Professional,188700.0,Single,Online,Platinum
CUST000203,Shivansh,Raghavan,52.0,Male,Kolkata,West Bengal,2020-12-08,Engineer,168100.0,Married,Online,Gold
CUST000204,Harita,Mitra,52.0,Female,Lucknow,Uttar Pradesh,2020-08-31,Business Owner,401100.0,Married,Store,Gold
CUST000205,Samaksh,Acharya,20.0,Male,Mumbai,Maharashtra,2024-08-16,Retail Employee,27900.0,Single,Online,Bronze
CUST000206,Nidra,Mangat,26.0,Female,Chennai,Tamil Nadu,2019-06-04,Retail Employee,18300.0,Married,Mobile App,Silver
CUST000207,Jagrati,Sani,45.0,Female,Jaipur,Rajasthan,2018-11-21,Self-Employed,108100.0,Married,Store,Gold
CUST000208,Naveen,Shroff,45.0,Male,Madurai,Tamil Nadu,2020-06-17,Student,166500.0,Married,Mobile App,Gold
CUST000209,Vaishnavi,Sathe,45.0,Female,Ahmedabad,Gujarat,2020-01-30,IT Professional,190100.0,Divorced,Online,Gold
CUST000210,Hredhaan,Vaidya,75.0,Male,Chennai,Tamil Nadu,2020-03-22,Retired,26500.0,Widowed,Store,Silver
CUST000211,Vritti,Gara,45.0,Female,Ludhiana,Punjab,2018-11-04,Student,118100.0,Married,Online,Gold
CUST000212,Chaman,Mander,53.0,Female,Mumbai,Maharashtra,2019-04-26,Homemaker,23700.0,Married,Online,Silver
CUST000213,Oliver,Chander,50.0,Male,Chennai,Tamil Nadu,2019-02-17,Engineer,184000.0,Married,Store,Platinum
CUST000214,Jacob,Mukherjee,46.0,Male,Pune,Maharashtra,2021-03-23,Homemaker,17600.0,Married,Online,Bronze
